timestamp,log_message,status,service,environment,severity,component,duration_ms,success,message_length,word_count,contains_error,contains_warning,contains_timeout,contains_memory,contains_network,hour_of_day,day_of_week,is_weekend,is_business_hours,duration_category
2025-08-26T22:11:25.792218,Installing dependencies from package.json,normal,api,production,TRACE,test,141,True,41,4,False,False,False,False,False,22,1,False,False,fast
2025-08-27T09:11:25.792218,ERROR: Dependency conflict detected,anomaly,backend,production,FATAL,monitor,11332,False,35,4,True,False,False,False,False,9,2,False,True,slow
2025-08-27T20:11:25.792218,Error rate: 0.08%,normal,backend,sandbox,TRACE,deploy,1681,True,17,3,True,False,False,False,False,20,2,False,False,medium
2025-08-27T15:11:25.792218,Deploying to production environment,normal,backend,qa,DEBUG,deploy,1337,True,35,4,False,False,False,False,False,15,2,False,True,medium
2025-08-28T07:11:25.792218,Code quality gate passed,normal,cache,dev,TRACE,monitor,3546,True,24,4,False,False,False,False,False,7,3,False,False,medium
2025-08-27T04:11:25.792218,Transaction completed successfully,normal,auth,dev,DEBUG,monitor,3880,True,34,3,False,False,False,False,False,4,2,False,False,medium
2025-08-28T20:11:25.792218,Teams webhook delivered,normal,auth,dev,INFO,deploy,1308,True,23,3,False,False,False,False,False,20,3,False,False,medium
2025-08-28T12:11:25.792218,ERROR: Code signing failed - certificate expired,anomaly,database,test,CRITICAL,deploy,14963,False,48,7,True,False,False,False,False,12,3,False,True,slow
2025-08-28T07:11:25.792218,Running end-to-end tests,normal,auth,test,TRACE,deploy,1535,True,24,3,False,False,False,False,False,7,3,False,False,medium
2025-08-27T15:11:25.792218,Database connection established,normal,auth,qa,DEBUG,build,1057,True,31,3,False,False,False,False,True,15,2,False,True,medium
2025-08-28T13:11:25.792218,Docker image built successfully,normal,cache,staging,DEBUG,build,2116,True,31,4,False,False,False,False,False,13,3,False,True,medium
2025-08-28T05:11:25.792218,Installing dependencies from package.json,normal,scheduler,production,DEBUG,build,4902,True,41,4,False,False,False,False,False,5,3,False,False,medium
2025-08-28T01:11:25.792218,Status badge updated,normal,backend,production,TRACE,test,1370,True,20,3,False,False,False,False,False,1,3,False,False,medium
2025-08-27T03:11:25.792218,Memory usage: 33%,normal,database,sandbox,INFO,build,4908,True,17,3,False,False,False,True,False,3,2,False,False,medium
2025-08-27T06:11:25.792218,BUILD FAILED: Compilation errors detected,anomaly,auth,production,WARN,build,16128,False,41,5,True,False,False,False,False,6,2,False,False,slow
2025-08-27T19:11:25.792218,FATAL: End-to-end test environment unreachable,anomaly,worker,test,FATAL,test,26644,False,46,5,False,False,False,False,False,19,2,False,False,slow
2025-08-28T04:11:25.792218,Indexes optimized,normal,auth,production,INFO,deploy,1755,True,17,2,False,False,False,False,False,4,3,False,False,medium
2025-08-27T09:11:25.792218,Installing dependencies from requirements.txt,normal,database,sandbox,INFO,deploy,1874,True,45,4,False,False,False,False,False,9,2,False,True,medium
2025-08-27T17:11:25.792218,Service is healthy and responding,normal,api,qa,INFO,test,1480,True,33,5,False,False,False,False,False,17,2,False,True,medium
2025-08-28T10:11:25.792218,Dependencies installed successfully in 338s,normal,database,qa,DEBUG,deploy,2175,True,43,5,False,False,False,False,False,10,3,False,True,medium
2025-08-27T11:11:25.792218,Transaction completed successfully,normal,auth,staging,DEBUG,test,3449,True,34,3,False,False,False,False,False,11,2,False,True,medium
2025-08-26T23:11:25.792218,Starting test suite execution,normal,scheduler,production,TRACE,build,2409,True,29,4,False,False,False,False,False,23,1,False,False,medium
2025-08-27T08:11:25.792218,Application started successfully,normal,backend,staging,TRACE,test,3855,True,32,3,False,False,False,False,False,8,2,False,False,medium
2025-08-28T04:11:25.792218,Image tagged as v6.17.11,normal,frontend,dev,TRACE,build,165,True,24,4,False,False,False,False,False,4,3,False,False,fast
2025-08-28T06:11:25.792218,Indexes optimized,normal,backend,sandbox,INFO,test,4226,True,17,2,False,False,False,False,False,6,3,False,False,medium
2025-08-28T04:11:25.792218,Volume mounted successfully,normal,auth,staging,INFO,build,1544,True,27,3,False,False,False,False,False,4,3,False,False,medium
2025-08-27T12:11:25.792218,Initializing build environment,normal,auth,dev,DEBUG,monitor,2926,True,30,3,False,False,False,False,False,12,2,False,True,medium
2025-08-28T20:11:25.792218,Memory usage: 38%,normal,frontend,dev,INFO,deploy,4402,True,17,3,False,False,False,True,False,20,3,False,False,medium
2025-08-27T03:11:25.792218,Indexes optimized,normal,auth,test,INFO,test,1134,True,17,2,False,False,False,False,False,3,2,False,False,medium
2025-08-28T11:11:25.792218,ERROR: Database connection pool exhausted,anomaly,worker,staging,ERROR,monitor,17346,False,41,5,True,False,False,False,True,11,3,False,True,slow
2025-08-27T16:11:25.792218,Database connection established,normal,backend,dev,DEBUG,deploy,338,True,31,3,False,False,False,False,True,16,2,False,True,fast
2025-08-28T02:11:25.792218,Cache warmed up successfully,normal,database,test,DEBUG,deploy,2883,True,28,4,False,False,False,False,False,2,3,False,False,medium
2025-08-26T22:11:25.792218,"Test suite completed: 98 passed, 0 failed",normal,cache,test,TRACE,monitor,1355,True,41,7,True,False,False,False,False,22,1,False,False,medium
2025-08-28T01:11:25.792218,Running npm install,normal,worker,staging,DEBUG,test,2499,True,19,3,False,False,False,False,False,1,3,False,False,medium
2025-08-28T07:11:25.792218,CRITICAL: Payment gateway failure,anomaly,api,qa,ERROR,deploy,16445,False,33,4,True,False,False,False,False,7,3,False,False,slow
2025-08-28T20:11:25.792218,Webpack build completed,normal,database,staging,INFO,test,1717,True,23,3,False,False,False,False,False,20,3,False,False,medium
2025-08-28T20:11:25.792218,Transaction completed successfully,normal,cache,dev,INFO,deploy,2677,True,34,3,False,False,False,False,False,20,3,False,False,medium
2025-08-28T16:11:25.792218,Running end-to-end tests,normal,backend,qa,TRACE,monitor,1901,True,24,3,False,False,False,False,False,16,3,False,True,medium
2025-08-28T18:11:25.792218,Data backup completed,normal,backend,production,INFO,monitor,2541,True,21,3,False,False,False,False,False,18,3,False,False,medium
2025-08-27T08:11:25.792218,Branch protection rules satisfied,normal,api,test,TRACE,build,2274,True,33,4,False,False,False,False,False,8,2,False,False,medium
2025-08-28T11:11:25.792218,Data backup completed,normal,backend,qa,TRACE,monitor,3900,True,21,3,False,False,False,False,False,11,3,False,True,medium
2025-08-27T11:11:25.792218,ERROR: Integration test database connection failed,anomaly,backend,test,FATAL,deploy,26959,False,50,6,True,False,False,False,True,11,2,False,True,slow
2025-08-28T19:11:25.792218,Running integration tests,normal,database,test,INFO,monitor,4561,True,25,3,False,False,False,False,False,19,3,False,False,medium
2025-08-28T03:11:25.792218,FATAL: End-to-end test environment unreachable,anomaly,scheduler,dev,CRITICAL,build,16850,False,46,5,False,False,False,False,False,3,3,False,False,slow
2025-08-26T20:11:25.792218,CRITICAL: Rollback failed - system in inconsistent state,anomaly,backend,test,WARN,deploy,1520,False,56,8,True,False,False,False,False,20,1,False,False,medium
2025-08-28T18:11:25.792218,CRITICAL: Security vulnerability found,anomaly,cache,dev,CRITICAL,build,20087,False,38,4,False,False,False,False,False,18,3,False,False,slow
